UNITID,CIPCODE,MAJORNUM,AWLEVEL,XCTOTALT,CTOTALT
100654,"01.0999",1,5,"R",12
100654,"01.1001",1,5,"R",10
100654,"01.1001",1,7,"R",7
100654,"01.1001",1,17,"R",6
100654,"01.9999",1,5,"R",2
100654,"01.9999",1,7,"R",9
100654,"01.9999",1,17,"R",3
100654,"03.0599",1,5,"R",0
100654,"04.0301",1,5,"R",8
100654,"04.0301",1,7,"R",10
100654,"09.0199",1,7,"R",11
100654,"10.0202",1,5,"R",32
100654,"11.0101",1,5,"R",25
100654,"11.0101",1,7,"R",11
100654,"13.0101",1,8,"R",1
100654,"13.0401",1,7,"R",3
100654,"13.1001",1,5,"R",0
100654,"13.1001",1,7,"R",1
100654,"13.1012",1,5,"R",11
100654,"13.1202",1,5,"R",6
100654,"13.1202",1,7,"R",5
100654,"13.1205",1,7,"R",2
100654,"13.1210",1,5,"R",3
100654,"13.1210",1,7,"R",1
100654,"13.1314",1,5,"R",5
100654,"13.1315",1,17,"R",0
100654,"14.0801",1,5,"R",10
100654,"14.1001",1,5,"R",17
100654,"14.1001",1,7,"R",0
100654,"14.1901",1,5,"R",37
100654,"14.1901",1,7,"R",3
100654,"14.9999",1,7,"R",30
100654,"15.1001",1,5,"R",12
100654,"19.0101",1,5,"R",11
100654,"19.0101",1,7,"R",2
100654,"23.0101",1,5,"R",7
100654,"24.0102",1,5,"R",39
100654,"26.0101",1,5,"R",83
100654,"26.0101",1,7,"R",9
100654,"26.1201",1,5,"R",1
100654,"27.0101",1,5,"R",3
100654,"31.0504",1,5,"R",22
100654,"31.0505",1,7,"R",5
100654,"40.0501",1,5,"R",11
100654,"40.0801",1,5,"R",3
100654,"40.0801",1,7,"R",1
100654,"40.0899",1,17,"R",2
100654,"42.0101",1,5,"R",33
100654,"42.2803",1,7,"R",13
100654,"43.0103",1,5,"R",38
100654,"44.0701",1,5,"R",26
100654,"44.0701",1,7,"R",52
100654,"45.1001",1,5,"R",11
100654,"45.1101",1,5,"R",2
100654,"50.0701",1,5,"R",0
100654,"50.0702",1,5,"R",4
100654,"50.0901",1,5,"R",7
100654,"51.0203",1,7,"R",16
100654,"52.0201",1,5,"R",52
100654,"52.0201",1,7,"R",38
100654,"52.0203",1,5,"R",15
100654,"52.0301",1,5,"R",10
100654,"52.0701",1,5,"R",6
100654,"52.0801",1,5,"R",10
100654,"52.1401",1,5,"R",6
100654,"99",1,5,"R",590
100654,"99",1,7,"R",229
100654,"99",1,8,"R",1
100654,"99",1,17,"R",11
100663,"05.0201",1,5,"R",2
100663,"09.0101",1,5,"R",58
100663,"09.0101",2,5,"R",1
100663,"09.0101",1,7,"R",14
100663,"09.0908",1,6,"R",3
100663,"11.0101",1,5,"R",108
100663,"11.0101",1,7,"R",268
100663,"11.0101",1,17,"R",5
100663,"11.0401",1,7,"R",88
100663,"11.1003",1,6,"R",0
100663,"11.1003",1,7,"R",21
100663,"13.0101",1,7,"R",3
100663,"13.0101",1,8,"R",6
100663,"13.0301",1,7,"R",10
100663,"13.0401",1,7,"R",6
100663,"13.0401",1,8,"R",2
100663,"13.0401",1,17,"R",1
100663,"13.0406",1,6,"R",6
100663,"13.0406",1,7,"R",8
100663,"13.0604",1,7,"R",27
100663,"13.1001",1,6,"R",0
100663,"13.1001",1,7,"R",12
100663,"13.1101",1,6,"R",6
100663,"13.1101",1,7,"R",41
100663,"13.1202",1,5,"R",35
100663,"13.1202",1,7,"R",9
100663,"13.1205",1,5,"R",15
100663,"13.1205",1,7,"R",14
100663,"13.1210",1,5,"R",15
100663,"13.1210",1,7,"R",0
100663,"13.1210",1,17,"R",3
100663,"13.1302",1,7,"R",0
100663,"13.1307",1,6,"R",5
100663,"13.1314",1,5,"R",101
100663,"13.1314",1,7,"R",16
100663,"13.1315",1,7,"R",2
100663,"13.1401",1,6,"R",9
100663,"13.1401",1,7,"R",15
100663,"13.1401",1,8,"R",4
100663,"14.0101",1,5,"R",6
100663,"14.0101",1,7,"R",92
100663,"14.0501",1,5,"R",50
100663,"14.0501",1,7,"R",7
100663,"14.0501",1,17,"R",5
100663,"14.0801",1,5,"R",24
100663,"14.0801",1,7,"R",21
100663,"14.0801",1,17,"R",0
100663,"14.0901",1,17,"R",4
100663,"14.1001",1,5,"R",32
100663,"14.1801",1,5,"R",12
100663,"14.1801",1,7,"R",6
100663,"14.1801",1,17,"R",2
100663,"14.1901",1,5,"R",42
100663,"14.1901",1,7,"R",18
100663,"14.1901",1,17,"R",1
100663,"14.3301",1,6,"R",0
100663,"14.4701",1,7,"R",23
100663,"14.9999",1,7,"R",16
100663,"14.9999",1,17,"R",2
100663,"16.0101",1,5,"R",18
100663,"16.0101",2,5,"R",3
100663,"16.0905",1,2,"R",6
100663,"23.0101",1,5,"R",45
100663,"23.0101",2,5,"R",8
100663,"23.0101",1,7,"R",9
100663,"23.1301",1,5,"R",1
100663,"24.0102",1,5,"R",79
100663,"24.0199",1,5,"R",14
100663,"24.0199",2,5,"R",1
100663,"26.0101",1,5,"R",127
100663,"26.0101",1,6,"R",0
100663,"26.0101",1,7,"R",9
100663,"26.0101",1,17,"R",8
100663,"26.0102",1,5,"R",165
100663,"26.0102",1,7,"R",124
100663,"26.0205",1,17,"R",2
100663,"26.0401",1,17,"R",17
100663,"26.0403",1,7,"R",5
100663,"26.0502",1,17,"R",13
100663,"26.0507",1,5,"R",30
100663,"26.0507",2,5,"R",1
100663,"26.0801",1,5,"R",24
100663,"26.0806",1,17,"R",5
100663,"26.0902",1,17,"R",9
100663,"26.0908",1,8,"R",4
100663,"26.0909",1,7,"R",1
100663,"26.0909",1,17,"R",1
100663,"26.0910",1,17,"R",2
100663,"26.0911",1,5,"R",16
100663,"26.1007",1,17,"R",1
100663,"26.1102",1,7,"R",1
100663,"26.1102",1,17,"R",2
100663,"26.1103",1,5,"R",4
100663,"26.1201",1,6,"R",8
100663,"26.1201",1,7,"R",42
100663,"26.1309",1,17,"R",8
100663,"26.1501",1,5,"R",91
100663,"26.1503",1,17,"R",9
100663,"27.0101",1,5,"R",17
100663,"27.0101",2,5,"R",1
100663,"27.0101",1,7,"R",8
100663,"27.0301",1,17,"R",4
100663,"27.0599",1,6,"R",8
100663,"30.0601",1,6,"R",1
100663,"30.0601",1,7,"R",9
100663,"30.1202",1,7,"R",4
100663,"30.1501",1,6,"R",0
100663,"30.1901",1,5,"R",11
100663,"30.1901",1,17,"R",2
