wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q100260373,,,2016,https://manara.edu.sy/
Q100260550,,,,
Q100452185,,,2015,
Q100452190,,,2002,
Q100452192,,,2016,
Q100452193,,,2017,
Q100452196,,,2010,
Q100523631,,,2017,
Q100523633,,,,
Q100523641,,,2012,
Q100523654,,,2014,
Q100552857,,,1998,
Q1006950,1271,2020,1992,
Q100709256,,,1992,https://www.fedpodam.edu.ng/
Q100872718,,,2011,https://www.fuwukari.edu.ng/
Q100942461,,,,
Q100943489,,,2011,https://www.cuk.ac.ke/
Q100943890,,,1951,https://justomwale.net
Q100955845,,,,https://isced.co/
Q100968497,,,,
Q100969245,,,,
Q100989278,,,1993,https://uom.cd/
Q100989286,,,,
Q100993166,,,,
Q100993174,,,,
Q100993177,,,,
Q100993248,,,,
Q100993352,,,,
Q100993370,,,,
Q100993996,,,,
Q100994109,,,,
Q101019953,,,,
Q101027895,,,,https://phoenixmed.arizona.edu/
Q101064230,,,2005,
Q1012699,3674,2020,1863,https://www.bryant.edu/
Q101378207,,,,https://www.wsi.med.uni-muenchen.de/index.html
Q101579967,15991,2024,2022,https://www.omu.ac.jp/
Q1017974,4512,2021,1855,
Q1018771,,,1949,
Q102047436,,,1965,
Q1020699,14265,2020,1978,https://www.scad.edu/
Q102104940,,,,
Q102228406,,,,
Q102347729,,,2016,
Q102347732,,,2017,
Q102347733,,,2017,https://fezzanu.edu.ly/en/
Q102347737,,,2014,
Q102347739,,,2017,
Q1023818,,,1957,https://universidad.claeh.edu.uy
Q102398470,,,,
Q102412398,,,1964,
Q1024426,35470,2020,1801,https://sc.edu/
Q1024543,9300,2020,1961,
Q1024969,17000,,1959,https://www.cabrillo.edu/
Q102523007,,,1910,
Q10266174,,,2008,
Q1026804,1800,,1907,https://www.cca.edu
Q1026827,1166,2020,1961,https://calarts.edu/
Q1026831,3568,2021,1959,
Q1026832,952,2020,1929,https://maritime.calpoly.edu/
Q1026836,174,2020,1977,
Q1026846,22440,2020,1901,https://www.calpoly.edu/
Q1026868,30014,2020,1949,https://www.cpp.edu/
Q1026902,9050,2021,1965,
Q1026905,7446,2020,2002,
Q1026909,18687,2020,1960,https://www.csudh.edu/
Q1026912,14119,2021,1887,
Q1026916,16253,2020,1957,https://www.csueastbay.edu/
Q1026919,25497,2020,1911,https://www.fresnostate.edu/
Q1026925,42051,2020,1957,https://www.fullerton.edu/
Q1026926,33337,2021,1949,https://www.csulb.edu/
Q1026932,26745,2020,1947,https://www.calstatela.edu/
Q1026939,32214,2021,1958,https://www.csun.edu/
Q1026941,27085,2021,1947,https://www.csus.edu/
Q1026944,19689,2020,1965,
Q10269817,,,,
Q10274560,,,1954,https://eaesp.fgv.br/
Q10274563,,,,
Q10274656,,,1933,
Q1027869,871,,1988,https://www.digipen.edu/
Q10279262,,,,
Q10279270,,,,
Q10279298,,,,
Q10279310,,,1981,
Q10279326,,,1998,
Q10279580,,,,
Q10279594,,,2004,
Q10279618,,,2002,
Q10279623,,,,https://fatecsaocaetano.edu.br
Q10283681,,,,https://www.gcp.edu.cn/
Q10286343,,,,
Q1029431,44481,2020,1888,
Q1029517,2700,,1994,
Q10299467,,,,
Q1030044,9746,2020,1929,https://www.qu.edu/
Q103018959,,,,
Q103019653,,,,
Q10302433,,,,
Q10302486,,,2008,
Q10302490,,,1909,
Q10302639,,,1979,
Q10302765,,,1997,
Q10302791,,,,
Q10302819,,,,
Q10302834,,,,
Q10302858,,,,
Q10332113,9827,2020,1964,https://www.mc3.edu/
Q1033335,2360,2021,1870,
Q1033692,25948,2020,1929,https://www.smc.edu/
Q103821967,,,,
Q10387796,,,,
Q10387808,,,1970,
Q10387872,9622,2021,1976,
Q10387952,,,2012,https://univesp.br/
Q10403916,,,2011,
Q104131996,,,1965,
Q1041671,2044,2021,1866,https://www.carleton.edu/
Q104224385,,,1993,
Q104243342,,,2009,
Q104243349,,,2011,
Q1045167,3451,2020,1846,
Q104630607,,,2011,https://staitaruna.ac.id/
Q104630664,,,1999,https://www.kahuripan.ac.id
Q104631456,,,1971,https://unipasby.ac.id/
Q104632240,,,2007,https://unirow.ac.id/
Q104633597,,,1981,https://stia-malang.ac.id/
Q1047060,9963,2021,1967,https://case.edu
Q1047226,2250,,1964,https://www.hult.edu/
Q1047293,19494,2019,1965,https://ucsc.edu
Q10482047,,,1963,
Q104829521,,,1983,https://fedpolynas.edu.ng/
Q104834286,,,,
Q104844767,,,,
Q104845113,,,1949,https://www.samarcollege.edu.ph
Q104847179,,,2019,
Q104847937,,,2021,https://www.plaksha.edu.in
Q104850475,,,2020,
Q104853646,472,2019,2018,https://bmu.edu.ng/
Q104855273,,,2002,https://dsust.edu.ng/
Q104855369,,,2020,https://www.birtikendrajituniversity.ac.in
Q104855385,,,2019,https://cuc.ac.in
Q104855386,,,2019,https://www.samglobaluniversity.ac.in
Q104864453,,,2017,
Q104866738,,,1987,https://www.fcetasaba.edu.ng
Q104867336,,,,
Q104869887,,,2019,https://www.kanyashreeuniversity.ac.in
Q104870498,,,2018,https://rrgu.in
Q104876326,,,2011,https://ensbiotech.edu.dz/
Q104878513,,,2020,https://www.ssju.ac.in
Q104879801,,,2020,https://duk.ac.in
Q104881135,,,2017,https://www.mguwb.org.in
Q1048851,5076,2021,1886,https://www.yu.edu/
Q1048898,13097,,1791,https://www.uvm.edu/
Q104901588,216,2020,,
Q104902888,,,2020,
Q104902912,,,2020,https://www.mallareddyuniversity.ac.in
Q1049470,29956,,1956,https://uwaterloo.ca
Q1050078,12243,2020,1889,https://www.wcu.edu
Q105033859,,,,
Q1051840,1701,2021,1926,https://www.sarahlawrence.edu/
Q1052208,1686,2020,1889,
Q1052614,21534,2021,1888,
Q105335883,,,,
Q105349358,,,,https://www.cca.edu.ph/
Q105359583,,,2020,https://www.alipurduaruniversity.ac.in
Q1053764,10652,2020,1849,
Q1054064,11174,2020,1891,https://www.cwu.edu/
Q105409652,,,2020,https://www.bbb.ac.in
Q105446875,,,2011,https://www.aubmed.org/
Q105475483,,,2012,
Q1054905,7763,2019,1867,https://www.morgan.edu/
Q105550548,,,1957,https://fundacionlasalle.com/
Q105576298,,,,https://bnu.edu.eg/
Q1055874,4155,2020,1927,https://www.bridgeport.edu/
Q1056123,6830,2020,1906,
Q105626286,,,1985,https://una.ac.id
Q105626390,,,2011,https://www.murnisadar.ac.id
Q105626403,,,2001,
Q105626414,,,2002,https://www.poltekganeshamedan.ac.id
Q105626424,,,2013,https://www.stdhkbp.ac.id
Q105626430,,,2015,
Q105626436,,,1979,https://stokbinaguna.ac.id
Q105626440,,,1999,https://stiebangkinang.ac.id
Q105626474,,,1982,https://ipts.ac.id
Q105626481,,,2018,https://akbidassyifakisaran.ac.id
Q105626483,,,2007,https://www.stikeselisabethmedan.ac.id
Q105626485,,,,https://www.poltekkes-medan.ac.id
Q105626500,,,1998,
Q105626507,,,1985,https://pddikti.kemdikbud.go.id/data_pt/NkFEOTY2REYtRUEyQS00MjJDLTgyRDgtNUZCRDkyM0Q3Q0Ew
Q105626517,,,2000,https://stimsukmamedan.ac.id/
Q105626526,,,2000,https://stiesultanagung.ac.id
Q105626529,,,2003,https://header.kaputama.ac.id/
Q105626563,,,2019,
Q1056373,1451,2020,1857,https://gallaudet.edu
Q1056848,1374,2020,1896,
Q1056856,754,2020,1893,
Q105696842,,,2003,https://politeknikjambi.ac.id/
Q105729778,,,2018,https://just.edu.ye
Q1057447,4145,2021,1905,
Q105809850,2600,2023,2021,https://www.clermont-auvergne-inp.fr/
Q105820700,,,1976,https://nocen.edu.ng/nocen/about-us/
Q1061104,3180,2019,1873,https://ucsf.edu
Q1062129,17591,2022,1907,
Q106371791,,,2021,https://www.snuchennai.edu.in
Q106399173,,,2015,https://www.rmu.ac.bd/
Q106469487,,,,
Q106485444,,,2019,https://centralasian.uz/
Q106506688,,,1998,https://citi.edu.mn
Q106518027,,,1931,
Q106518030,,,1950,
Q106548222,,,2019,https://www.ufnt.edu.br
Q1065809,41409,2021,1965,https://www.fiu.edu/
Q10664609,1089,2019,1926,
Q106646552,,,2021,https://tus.ie
Q1066989,3429,2020,2001,https://www.alliant.edu/
Q1067471,33000,2020,1966,https://www.ucalgary.ca/
Q106777486,,,2000,https://nbmc.ac.bd/
Q1067916,13057,2022,1949,https://www.okayama-u.ac.jp/cn/index.html
Q106803750,,,2013,https://www.cimch.edu.bd/
Q1068072,24221,2023,1743,https://www.udel.edu/
Q106808253,,,2009,https://akpermarthenindey.ac.id
Q106808323,,,2002,https://www.poltekstpaul.ac.id
Q106808475,,,1967,https://www.fajartimur.ac.id
Q106809261,,,2004,https://uswim.ac.id
Q1068752,10859,2020,1867,https://howard.edu
Q106916672,,,2007,
Q106920280,,,,
Q106927252,,,,https://www.fdu.edu/campuses/florham-campus/
Q106945545,,,,https://collegeofathens.edu/
Q1069994,,,1881,https://www.tus.ac.jp/
Q1070333,26754,2021,1871,https://www.uark.edu/
Q10709746,8262,2020,1887,https://www.uncp.edu
Q107202968,,,,
Q107209412,,,2006,https://www.sohag-univ.edu.eg
