ror,wikidata,studentCount,studentYear,establishedYear,officialWebsite
00003ef66,Q30315038,,,2016,
00013q465,Q200601,,,1917,https://www.pucp.edu.pe
0001a2m26,Q4975271,5386,,1946,
0001fmy77,Q1742507,9646,,1290,https://www.unimc.it
0001h5y29,Q30263400,,,1918,
0001ws297,Q131428079,,,,https://cdrsp.ipleiria.pt
0002cnv45,Q273582,419,,1881,
0002kvt84,Q109913556,,,,https://www.sttsappi.ac.id
0002mgt08,Q3577921,,,1801,
0002pcv65,Q796023,18486,,1971,https://www.unrc.edu.ar/
0002yq607,Q14713666,,,1979,
00033n668,Q19946137,,,2001,
000367g23,Q3604016,,,,
000372389,Q50040192,,,,
0003ahp46,Q30293675,,,,
0003e4m70,Q5936026,,,2003,
0003ewr82,Q4997520,,,1975,https://www.bujhansi.ac.in
00042h977,Q6964796,4931,,1942,
00046gq65,Q56416982,,,2002,https://www.poltekindonusa.ac.id
0004ay179,Q25457507,,,1997,https://nscpolteksby.ac.id
0004r6b85,Q1622079,2370,,1964,
0004vyj87,Q4116239,18000,,1972,https://aast.edu/
0004wsx81,Q15057698,,,2013,https://telkomuniversity.ac.id/
000548d77,Q7685179,8165,,2008,
0005ekk02,Q140908250,,,2018,https://imavi.org
0005k2a75,Q12523469,,,1999,https://www.universitassuryadarma.ac.id
0005r2j17,Q27271210,,,1962,
0005w8d69,Q676817,10000,,1723,https://www.unicam.it
0005yy970,Q125676207,,,2021,https://fuhsa.edu.ng/
00062wa96,Q119466004,,,2019,https://poltekssn.ac.id/
0006cvt76,Q15222152,,,1974,
0006g9r95,Q30293777,,,,
0006j5k73,Q11654253,,,1875,https://www.nagano-c.ed.jp/ueda-hs
0006kcg24,Q11440738,,,1907,https://www3.osaka-c.ed.jp/miyakojima-t/
0007enk15,Q1572917,,,,https://www.hamburgmediaschool.com/
0007s1889,Q98080902,,,2020,https://www.uhnsugriwa.ac.id
000848h33,Q30294283,,,,
