wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q30315038,,,2016,
Q200601,,,1917,https://www.pucp.edu.pe
Q4975271,5386,,1946,
Q1742507,9646,,1290,https://www.unimc.it
Q30263400,,,1918,
Q131428079,,,,https://cdrsp.ipleiria.pt
Q273582,419,,1881,
Q109913556,,,,https://www.sttsappi.ac.id
Q3577921,,,1801,
Q796023,18486,,1971,https://www.unrc.edu.ar/
Q14713666,,,1979,
Q19946137,,,2001,
Q3604016,,,,
Q50040192,,,,
Q30293675,,,,
Q5936026,,,2003,
Q4997520,,,1975,https://www.bujhansi.ac.in
Q6964796,4931,,1942,
Q56416982,,,2002,https://www.poltekindonusa.ac.id
Q25457507,,,1997,https://nscpolteksby.ac.id
Q1622079,2370,,1964,
Q4116239,18000,,1972,https://aast.edu/
Q15057698,,,2013,https://telkomuniversity.ac.id/
Q7685179,8165,,2008,
Q140908250,,,2018,https://imavi.org
Q12523469,,,1999,https://www.universitassuryadarma.ac.id
Q27271210,,,1962,
Q676817,10000,,1723,https://www.unicam.it
Q125676207,,,2021,https://fuhsa.edu.ng/
Q119466004,,,2019,https://poltekssn.ac.id/
Q15222152,,,1974,
Q30293777,,,,
Q11654253,,,1875,https://www.nagano-c.ed.jp/ueda-hs
Q11440738,,,1907,https://www3.osaka-c.ed.jp/miyakojima-t/
Q1572917,,,,https://www.hamburgmediaschool.com/
Q98080902,,,2020,https://www.uhnsugriwa.ac.id
Q30294283,,,,
Q6424326,,,1994,https://www.kobepharma-u.ac.jp/
Q1707347,2253,,2004,
Q4702511,,,2005,https://www.alhikmah.edu.ng/
Q14712798,3294,,1950,https://marymount.edu/
Q3878581,717,,1895,https://bushnell.edu/
Q7894242,,,1923,https://www.uaslp.mx/
Q10302476,,,1909,
Q109767453,,,2013,https://polac.edu.ng/
Q540751,31500,,1992,https://aru.ac.uk/
Q3547601,,,1900,
Q1968395,,,1900,
Q10884585,,,1927,
Q7257416,,,2003,
Q30294309,,,2003,
Q141194817,,,2000,https://tcs.edu.my
Q10884926,,,1994,https://www.ikhzasag.edu.mn/
Q138860084,,,1965,https://siamtechno.ac.th
Q7050484,9304,,1991,
Q5918116,,,2000,
Q51781109,,,1996,
Q309350,20360,,1851,
Q11525034,,,1974,https://tce.ac.jp/
Q30262067,,,1972,
Q6943779,,,2007,
Q536163,947,,1872,
Q8034758,,,1956,
Q2120216,,,2007,https://ph-tirol.ac.at/
Q18155496,3044,,1966,https://sunypoly.edu/
Q3551596,,,2003,
Q5503206,,,,
Q5646575,,,1999,
Q4813522,4294,,1958,
Q7606816,,,1936,
Q11395973,,,1962,
Q30293805,,,,
Q537526,10754,,1977,
Q3700204,,,1925,https://gpmu.org/
Q3551372,,,2006,
Q6264778,1881,,1974,https://www.jwcc.edu/
Q27963411,,,1983,https://www.huel.edu.cn/
Q12204494,,,1990,
Q1408542,200,,1998,
Q4331443,,,1918,https://osau.edu.ua/
Q30294679,,,1996,https://www.unsoer.ac.id
Q17054231,,,2011,
Q99518139,,,2020,https://aiimsguwahati.ac.in
Q4998936,,,,
Q1698948,,,2005,
Q7660557,,,2006,
Q141195494,,,2024,https://dmuc.edu.kh
Q17078651,,,1994,
Q11663166,720,,1939,
Q7262735,,,1994,
Q20432783,,,,
Q6053947,,,1998,
Q350752,,,1947,https://www.uii.ac.id
Q5615995,,,1935,https://www.glmu.edu.cn
Q12116601,,,1921,
Q3296302,1722,,1936,
Q7894642,,,2006,
Q16982771,,,,
Q626893,,,2003,https://www.ust.ac.kr/eng.do
Q5636183,,,1998,https://www.humak.fi/en/
Q4806423,,,1996,
Q1665124,,,1963,https://www.iscparis.com
Q30293939,,,,
Q8343704,,,,
Q8045867,,,,
Q5968342,,,1994,https://eduhk.hk
Q117405663,,,2021,https://ariu.edu.qa
Q4412445,4100,,1960,
Q1305888,556,,2005,
Q85740858,,,2019,
Q28402688,,,2013,https://gw4.ac.uk/
Q52848386,,,1977,
Q710126,,,2010,
Q3551636,,,1942,https://www.um.edu.mx/
Q1458675,,,1948,
Q3578180,,,1967,
Q61931447,,,2014,
Q137943414,,,2022,https://atmu.uz
Q1244841,,,1861,https://www.zg.ch/behoerden/direktion-fur-bildung-und-kultur/ksz/ksz-english0
Q16302657,,,1955,https://www.unincca.edu.co/
Q1232428,,,1980,https://www.ehu.eus/eu/
Q6039015,,,1987,
Q2072655,16686,,1930,https://unec.edu.az
Q109912040,,,2016,https://www.unhena.ac.id
Q16363069,,,,
Q30260592,,,2006,
Q3551803,840,,2006,https://www2.scu.ac.jp/
Q686522,3026,,1819,https://www.mdw.ac.at/
Q30263379,,,1996,
Q5492094,310,,1997,https://www.olin.edu/
Q4209557,,,1953,https://klif.univer.mvd.ru/
Q129571898,,,,https://disdik.grobogan.go.id
Q7800186,,,1976,
Q6024968,,,1982,
Q50035356,,,,
Q11815232,,,2001,https://pans.tarnobrzeg.pl/
Q7896420,3181,,1911,
Q100943881,,,,https://icuzambia.net
Q3687224,,,1950,https://www.conservatorionicolini.com/
Q7791286,247,,1969,https://www.tjsl.edu
